id,area,canal,type,chainage_m,status,blockpct,damage,lon,lat,image
66,ATTANUR_2,TLBC,main,3250.0,partial,10,,77.1058388,16.2203195,images/0066.jpg
67,ATTANUR_2,TLBC,main,3300.0,partial,15,,77.1062836,16.2204577,images/0067.jpg
68,ATTANUR_2,TLBC,main,3350.0,clear,0,,77.1066969,16.2206371,images/0068.jpg
69,ATTANUR_2,TLBC,main,3400.0,partial,15,,77.1071079,16.2208445,images/0069.jpg
70,ATTANUR_2,TLBC,main,3450.0,partial,18,,77.1075199,16.2210641,images/0070.jpg
155,ATTANUR_2,Distributary-95,distributary,2250.0,partial,34,,77.1059704,16.20892,images/0155.jpg
156,ATTANUR_2,Distributary-95,distributary,2300.0,moderate,48,,77.106365,16.2086783,images/0156.jpg
157,ATTANUR_2,Distributary-95,distributary,2350.0,partial,27,,77.1067581,16.2084237,images/0157.jpg
158,ATTANUR_2,Distributary-95,distributary,2400.0,partial,11,,77.1070713,16.2080956,images/0158.jpg
159,ATTANUR_2,Distributary-95,distributary,2450.0,partial,7,,77.107204,16.2076947,images/0159.jpg
160,ATTANUR_2,Distributary-95,distributary,2500.0,partial,40,,77.1072541,16.2072473,images/0160.jpg
161,ATTANUR_2,Distributary-95,distributary,2550.0,moderate,44,,77.1073039,16.2068078,images/0161.jpg
162,ATTANUR_2,Distributary-95,distributary,2600.0,partial,21,,77.1073603,16.2063668,images/0162.jpg
163,ATTANUR_2,Distributary-95,distributary,2650.0,partial,26,,77.1074131,16.2059204,images/0163.jpg
164,ATTANUR_2,Distributary-95,distributary,2700.0,partial,12,,77.1074629,16.2054692,images/0164.jpg
165,ATTANUR_2,Distributary-95,distributary,2750.0,partial,12,,77.1075168,16.2050272,images/0165.jpg
166,ATTANUR_2,Distributary-95,distributary,2800.0,partial,17,,77.1075735,16.2045724,images/0166.jpg
167,ATTANUR_2,Distributary-95,distributary,2850.0,partial,10,,77.1076212,16.2041185,images/0167.jpg
168,ATTANUR_2,Distributary-95,distributary,2900.0,partial,13,,77.1076506,16.2036721,images/0168.jpg
169,ATTANUR_2,Distributary-95,distributary,2950.0,clear,2,,77.1076668,16.2032223,images/0169.jpg
170,ATTANUR_2,Distributary-95,distributary,3000.0,clear,4,,77.1076801,16.2027732,images/0170.jpg
171,ATTANUR_2,Distributary-95,distributary,3050.0,moderate,49,,77.1076933,16.2023255,images/0171.jpg
172,ATTANUR_2,Distributary-95,distributary,3100.0,partial,27,,77.107713,16.2018806,images/0172.jpg
173,ATTANUR_2,Distributary-95,distributary,3150.0,partial,6,,77.1077216,16.2014324,images/0173.jpg
174,ATTANUR_2,Distributary-95,distributary,3200.0,partial,19,,77.1077339,16.2009832,images/0174.jpg
175,ATTANUR_2,Distributary-95,distributary,3250.0,partial,13,,77.1077477,16.2005303,images/0175.jpg
176,ATTANUR_2,Distributary-95,distributary,3300.0,partial,14,,77.1077628,16.2000812,images/0176.jpg
177,ATTANUR_2,Distributary-95,distributary,3350.0,partial,12,,77.1077744,16.1996314,images/0177.jpg
178,ATTANUR_2,Distributary-95,distributary,3400.0,partial,13,,77.1077824,16.1991804,images/0178.jpg
179,ATTANUR_2,Distributary-95,distributary,3450.0,partial,12,,77.1077921,16.1987319,images/0179.jpg
180,ATTANUR_2,Distributary-95,distributary,3500.0,partial,39,,77.1078115,16.1982836,images/0180.jpg
181,ATTANUR_2,Distributary-95,distributary,3550.0,moderate,60,,77.1078315,16.1978289,images/0181.jpg
182,ATTANUR_2,Distributary-95,distributary,3600.0,moderate,70,,77.1078939,16.1973745,images/0182.jpg
183,ATTANUR_2,Distributary-95,distributary,3650.0,full,89,,77.1080378,16.1969468,images/0183.jpg
184,ATTANUR_2,Distributary-95,distributary,3700.0,moderate,53,,77.1082352,16.1965213,images/0184.jpg
185,ATTANUR_2,Distributary-95,distributary,3750.0,partial,13,,77.1084265,16.196118,images/0185.jpg
186,ATTANUR_2,Distributary-95,distributary,3800.0,clear,4,Structural damage,77.1086276,16.1956901,images/0186.jpg
187,ATTANUR_2,Distributary-95,distributary,3850.0,partial,8,Structural damage,77.1088183,16.1952831,images/0187.jpg
188,ATTANUR_2,Distributary-95,distributary,3900.0,partial,9,,77.1090119,16.1948749,images/0188.jpg
189,ATTANUR_2,Distributary-95,distributary,3950.0,clear,4,,77.1092059,16.1944565,images/0189.jpg
190,ATTANUR_2,Distributary-95,distributary,4000.0,clear,4,Structural damage,77.1094013,16.1940371,images/0190.jpg
191,ATTANUR_2,Distributary-95,distributary,4050.0,clear,4,,77.1095928,16.19362,images/0191.jpg
192,ATTANUR_2,Distributary-95,distributary,4100.0,partial,6,Structural damage,77.1097826,16.1932065,images/0192.jpg
193,ATTANUR_2,Distributary-95,distributary,4150.0,clear,4,,77.1099616,16.192788,images/0193.jpg
194,ATTANUR_2,Distributary-95,distributary,4200.0,partial,17,,77.110068,16.192357,images/0194.jpg
195,ATTANUR_2,Distributary-95,distributary,4250.0,partial,20,,77.1100961,16.1919072,images/0195.jpg
196,ATTANUR_2,Distributary-95,distributary,4300.0,partial,19,,77.1101238,16.1914632,images/0196.jpg
197,ATTANUR_2,Distributary-95,distributary,4350.0,partial,31,,77.1101527,16.191017,images/0197.jpg
198,ATTANUR_2,Distributary-95,distributary,4400.0,partial,27,,77.1101756,16.1905676,images/0198.jpg
199,ATTANUR_2,Distributary-95,distributary,4450.0,clear,1,Structural damage,77.1102036,16.1901126,images/0199.jpg
200,ATTANUR_2,Distributary-95,distributary,4500.0,clear,2,Structural damage,77.1102321,16.1896665,images/0200.jpg
201,ATTANUR_2,Distributary-95,distributary,4550.0,partial,13,,77.1102615,16.1892203,images/0201.jpg
202,ATTANUR_2,Distributary-95,distributary,4600.0,clear,3,Structural damage,77.1102913,16.1887716,images/0202.jpg
203,ATTANUR_2,Distributary-95,distributary,4650.0,partial,8,,77.1103185,16.1883215,images/0203.jpg
204,ATTANUR_2,Distributary-95,distributary,4700.0,partial,9,,77.1103416,16.1878724,images/0204.jpg
205,ATTANUR_2,Distributary-95,distributary,4750.0,partial,12,,77.1103643,16.1874228,images/0205.jpg
206,ATTANUR_2,Distributary-95,distributary,4800.0,partial,9,,77.1103886,16.1869739,images/0206.jpg
207,ATTANUR_2,Distributary-95,distributary,4850.0,partial,14,,77.1104202,16.1865257,images/0207.jpg
208,ATTANUR_2,Distributary-95,distributary,4900.0,partial,13,,77.1104517,16.1860817,images/0208.jpg
209,ATTANUR_2,Distributary-95,distributary,4950.0,partial,7,,77.1104763,16.1856319,images/0209.jpg
210,ATTANUR_2,Distributary-95,distributary,5000.0,clear,3,Structural damage,77.1105044,16.1851855,images/0210.jpg
211,ATTANUR_2,Distributary-95,distributary,5050.0,partial,12,,77.1105499,16.1847262,images/0211.jpg
212,ATTANUR_2,Distributary-95,distributary,5100.0,partial,29,Structural damage,77.1106431,16.1842869,images/0212.jpg
213,ATTANUR_2,Distributary-95,distributary,5150.0,partial,12,,77.1107591,16.1838459,images/0213.jpg
214,ATTANUR_2,Distributary-95,distributary,5200.0,partial,9,,77.1108714,16.1834094,images/0214.jpg
215,ATTANUR_2,Distributary-95,distributary,5250.0,partial,18,,77.110986,16.182978,images/0215.jpg
216,ATTANUR_2,Distributary-95,distributary,5300.0,partial,20,,77.1111009,16.1825479,images/0216.jpg
217,ATTANUR_2,Distributary-95,distributary,5350.0,partial,14,,77.1112142,16.1821138,images/0217.jpg
218,ATTANUR_2,Distributary-95,distributary,5400.0,partial,24,,77.1113207,16.1816857,images/0218.jpg
219,ATTANUR_2,Distributary-95,distributary,5450.0,partial,36,,77.1114269,16.1812671,images/0219.jpg
220,ATTANUR_2,Distributary-95,distributary,5500.0,partial,35,,77.1115387,16.1808329,images/0220.jpg
221,ATTANUR_2,Distributary-95,distributary,5550.0,clear,2,,77.1117084,16.180341,images/0221.jpg
222,ATTANUR_2,Distributary-95,distributary,5600.0,clear,0,,77.1119087,16.1799349,images/0222.jpg
223,ATTANUR_2,Distributary-95,distributary,5650.0,clear,1,,77.1121083,16.179533,images/0223.jpg
224,ATTANUR_2,Distributary-95,distributary,5700.0,clear,3,,77.1123211,16.1791267,images/0224.jpg
225,ATTANUR_2,Distributary-95,distributary,5750.0,clear,2,,77.1125231,16.1787258,images/0225.jpg
226,ATTANUR_2,Distributary-95,distributary,5800.0,clear,4,,77.1127253,16.1783224,images/0226.jpg
227,ATTANUR_2,Distributary-95,distributary,5850.0,clear,2,,77.1129381,16.1779124,images/0227.jpg
228,ATTANUR_2,Distributary-95,distributary,5900.0,partial,32,Structural damage,77.1131469,16.1775007,images/0228.jpg
229,ATTANUR_2,Distributary-95,distributary,5950.0,partial,20,,77.1133466,16.1770904,images/0229.jpg
230,ATTANUR_2,Distributary-95,distributary,6000.0,partial,27,,77.1135575,16.1766842,images/0230.jpg
231,ATTANUR_2,Distributary-95,distributary,6050.0,partial,14,,77.1137638,16.1762843,images/0231.jpg
232,ATTANUR_2,Distributary-95,distributary,6100.0,partial,29,,77.1139656,16.1758825,images/0232.jpg
233,ATTANUR_2,Distributary-95,distributary,6150.0,partial,28,,77.1141582,16.1754717,images/0233.jpg
234,ATTANUR_2,Distributary-95,distributary,6200.0,partial,32,Structural damage,77.1142714,16.1750182,images/0234.jpg
235,ATTANUR_2,Distributary-95,distributary,6250.0,partial,35,,77.1141952,16.1745827,images/0235.jpg
236,ATTANUR_2,Distributary-95,distributary,6300.0,partial,29,Structural damage,77.1140549,16.1741603,images/0236.jpg
237,ATTANUR_2,Distributary-95,distributary,6350.0,moderate,54,,77.1139045,16.1737316,images/0237.jpg
