id,area,canal,type,chainage_m,status,blockage_pct,struct_damage,lon,lat,image
1,NRBC_D10_Survey_1,Main-Canal,main,0.0,clear,1,No,76.7596308,16.2971276,images/0001.jpg
2,NRBC_D10_Survey_1,Main-Canal,main,35.0,clear,0,No,76.7598709,16.2969158,images/0002.jpg
3,NRBC_D10_Survey_1,Main-Canal,main,70.0,clear,0,No,76.7601359,16.2967307,images/0003.jpg
4,NRBC_D10_Survey_1,Main-Canal,main,105.0,clear,1,No,76.760407,16.2965536,images/0004.jpg
5,NRBC_D10_Survey_1,Main-Canal,main,140.0,clear,3,No,76.7606795,16.296378,images/0005.jpg
6,NRBC_D10_Survey_1,Main-Canal,main,175.0,clear,2,No,76.7609521,16.2962028,images/0006.jpg
7,NRBC_D10_Survey_1,Main-Canal,main,210.0,clear,3,No,76.7612267,16.2960304,images/0007.jpg
8,NRBC_D10_Survey_1,Main-Canal,main,245.0,clear,4,No,76.7614944,16.2958482,images/0008.jpg
9,NRBC_D10_Survey_1,Main-Canal,main,280.0,clear,3,No,76.7617598,16.2956631,images/0009.jpg
10,NRBC_D10_Survey_1,Main-Canal,main,315.0,clear,2,No,76.7620245,16.2954771,images/0010.jpg
11,NRBC_D10_Survey_1,Main-Canal,main,350.0,clear,5,No,76.7622906,16.2952927,images/0011.jpg
12,NRBC_D10_Survey_1,Main-Canal,main,385.0,clear,4,No,76.7625568,16.2951084,images/0012.jpg
13,NRBC_D10_Survey_1,Main-Canal,main,420.0,clear,2,No,76.7628227,16.2949239,images/0013.jpg
14,NRBC_D10_Survey_1,Main-Canal,main,455.0,clear,0,No,76.763094,16.2947459,images/0014.jpg
15,NRBC_D10_Survey_1,Main-Canal,main,490.0,clear,1,No,76.7633546,16.2945548,images/0015.jpg
16,NRBC_D10_Survey_1,Main-Canal,main,525.0,clear,2,No,76.763615,16.2943631,images/0016.jpg
17,NRBC_D10_Survey_1,Main-Canal,main,560.0,clear,3,No,76.7638474,16.2941446,images/0017.jpg
18,NRBC_D10_Survey_1,Main-Canal,main,595.0,clear,2,No,76.7640088,16.2938778,images/0018.jpg
19,NRBC_D10_Survey_1,Main-Canal,main,630.0,clear,2,No,76.7640869,16.2935744,images/0019.jpg
20,NRBC_D10_Survey_1,Main-Canal,main,665.0,clear,1,No,76.7641111,16.2932602,images/0020.jpg
21,NRBC_D10_Survey_1,Main-Canal,main,700.0,clear,1,No,76.7641144,16.2929442,images/0021.jpg
22,NRBC_D10_Survey_1,Main-Canal,main,735.0,clear,0,No,76.7641184,16.2926279,images/0022.jpg
23,NRBC_D10_Survey_1,Main-Canal,main,770.0,clear,1,No,76.7641223,16.2923116,images/0023.jpg
24,NRBC_D10_Survey_1,Main-Canal,main,805.0,clear,0,No,76.7641222,16.2919955,images/0024.jpg
25,NRBC_D10_Survey_1,Main-Canal,main,840.0,clear,5,No,76.7641228,16.2916792,images/0025.jpg
26,NRBC_D10_Survey_1,Main-Canal,main,875.0,clear,3,No,76.7641229,16.2913629,images/0026.jpg
27,NRBC_D10_Survey_1,Main-Canal,main,910.0,clear,2,No,76.764122,16.2910468,images/0027.jpg
28,NRBC_D10_Survey_1,Main-Canal,main,945.0,clear,2,No,76.7641251,16.2907304,images/0028.jpg
29,NRBC_D10_Survey_1,Main-Canal,main,980.0,clear,2,No,76.7641246,16.2904142,images/0029.jpg
30,NRBC_D10_Survey_1,Main-Canal,main,1015.0,clear,2,No,76.764121,16.2900979,images/0030.jpg
31,NRBC_D10_Survey_1,Main-Canal,main,1050.0,clear,3,No,76.7641179,16.2897816,images/0031.jpg
32,NRBC_D10_Survey_1,Main-Canal,main,1085.0,clear,4,No,76.7641361,16.2894668,images/0032.jpg
33,NRBC_D10_Survey_1,Main-Canal,main,1120.0,clear,3,No,76.7642164,16.2891639,images/0033.jpg
34,NRBC_D10_Survey_1,Main-Canal,main,1155.0,clear,0,No,76.764384,16.288898,images/0034.jpg
35,NRBC_D10_Survey_1,Main-Canal,main,1190.0,clear,1,No,76.7646067,16.2886675,images/0035.jpg
36,NRBC_D10_Survey_1,Main-Canal,main,1225.0,clear,1,No,76.7648379,16.2884433,images/0036.jpg
37,NRBC_D10_Survey_1,Main-Canal,main,1260.0,clear,2,No,76.7650787,16.2882289,images/0037.jpg
38,NRBC_D10_Survey_1,Main-Canal,main,1295.0,clear,2,No,76.7653195,16.2880146,images/0038.jpg
