id,area,canal,type,chainage_m,status,blockage_pct,lon,lat,image
1,NRBC_D10_Survey_1,D-10pa,distributary,0.0,clear,34,76.7639786,16.2946293,images/0001.jpg
2,NRBC_D10_Survey_1,D-10pa,distributary,50.0,partial,39,76.7642391,16.2949649,images/0002.jpg
3,NRBC_D10_Survey_1,D-10pa,distributary,100.0,clear,21,76.7643396,16.2953932,images/0003.jpg
4,NRBC_D10_Survey_1,D-10pa,distributary,150.0,clear,25,76.7644088,16.2958402,images/0004.jpg
5,NRBC_D10_Survey_1,D-10pa,distributary,200.0,clear,14,76.7644779,16.296287,images/0005.jpg
6,NRBC_D10_Survey_1,D-10pa,distributary,250.0,clear,24,76.7645469,16.2967339,images/0006.jpg
7,NRBC_D10_Survey_1,D-10pa,distributary,300.0,clear,32,76.764616,16.2971807,images/0007.jpg
8,NRBC_D10_Survey_1,D-10pa,distributary,350.0,clear,30,76.7646852,16.2976275,images/0008.jpg
9,NRBC_D10_Survey_1,D-10pa,distributary,400.0,clear,34,76.7647542,16.2980744,images/0009.jpg
10,NRBC_D10_Survey_1,D-10pa,distributary,450.0,partial,35,76.7648233,16.2985212,images/0010.jpg
11,NRBC_D10_Survey_1,D-10pa,distributary,500.0,partial,39,76.7648925,16.2989681,images/0011.jpg
12,NRBC_D10_Survey_1,D-10pa,distributary,550.0,partial,39,76.7649615,16.2994149,images/0012.jpg
13,NRBC_D10_Survey_1,D-10pa,distributary,600.0,partial,39,76.7650373,16.2998609,images/0013.jpg
14,NRBC_D10_Survey_1,D-10pa,distributary,650.0,partial,90,76.7651206,16.3003054,images/0014.jpg
15,NRBC_D10_Survey_1,D-10pa,distributary,700.0,partial,97,76.7652041,16.3007499,images/0015.jpg
16,NRBC_D10_Survey_1,D-10pa,distributary,750.0,partial,80,76.7652875,16.3011944,images/0016.jpg
17,NRBC_D10_Survey_1,D-10pa,distributary,800.0,partial,55,76.7653709,16.301639,images/0017.jpg
18,NRBC_D10_Survey_1,D-10pa,distributary,850.0,clear,34,76.7654543,16.3020837,images/0018.jpg
19,NRBC_D10_Survey_1,D-10pa,distributary,900.0,clear,26,76.7655378,16.3025282,images/0019.jpg
20,NRBC_D10_Survey_1,D-10pa,distributary,950.0,clear,22,76.7656211,16.3029727,images/0020.jpg
21,NRBC_D10_Survey_1,D-10pa,distributary,1000.0,clear,48,76.7657046,16.3034173,images/0021.jpg
22,NRBC_D10_Survey_1,D-10pa,distributary,1050.0,partial,50,76.7657879,16.3038619,images/0022.jpg
23,NRBC_D10_Survey_1,D-10pa,distributary,1100.0,partial,36,76.7658714,16.3043064,images/0023.jpg
24,NRBC_D10_Survey_1,D-10pa,distributary,1150.0,partial,61,76.7659549,16.3047509,images/0024.jpg
25,NRBC_D10_Survey_1,D-10pa,distributary,1200.0,partial,69,76.7660382,16.3051956,images/0025.jpg
26,NRBC_D10_Survey_1,D-10pa,distributary,1250.0,blocked,77,76.7661216,16.3056402,images/0026.jpg
27,NRBC_D10_Survey_1,D-10pa,distributary,1300.0,blocked,98,76.7662051,16.3060847,images/0027.jpg
28,NRBC_D10_Survey_1,D-10pa,distributary,1350.0,blocked,97,76.7662886,16.3065292,images/0028.jpg
29,NRBC_D10_Survey_1,D-10pa,distributary,1400.0,blocked,93,76.7663719,16.3069739,images/0029.jpg
30,NRBC_D10_Survey_1,D-10pa,distributary,1450.0,blocked,86,76.7664552,16.3074185,images/0030.jpg
31,NRBC_D10_Survey_1,D-10pa,distributary,1700.0,blocked,84,76.7669227,16.3096125,images/0031.jpg
32,NRBC_D10_Survey_1,D-10pa,distributary,1750.0,blocked,75,76.7672021,16.309945,images/0032.jpg
33,NRBC_D10_Survey_1,D-10pa,distributary,1800.0,blocked,65,76.7675656,16.3102294,images/0033.jpg
34,NRBC_D10_Survey_1,D-10pa,distributary,1850.0,partial,90,76.7679293,16.3105137,images/0034.jpg
35,NRBC_D10_Survey_1,D-10pa,distributary,1900.0,blocked,63,76.7683233,16.3107443,images/0035.jpg
36,NRBC_D10_Survey_1,D-10pa,distributary,1950.0,blocked,70,76.7687592,16.3109004,images/0036.jpg
37,NRBC_D10_Survey_1,D-10pa,distributary,2000.0,partial,62,76.7692034,16.3110419,images/0037.jpg
38,NRBC_D10_Survey_1,D-10pa,distributary,2050.0,partial,61,76.769648,16.3111833,images/0038.jpg
39,NRBC_D10_Survey_1,D-10pa,distributary,2100.0,partial,68,76.7700923,16.3113248,images/0039.jpg
40,NRBC_D10_Survey_1,D-10pa,distributary,2150.0,blocked,55,76.7705366,16.3114663,images/0040.jpg
41,NRBC_D10_Survey_1,D-10pa,distributary,2200.0,partial,52,76.7709809,16.3116077,images/0041.jpg
42,NRBC_D10_Survey_1,D-10pa,distributary,2250.0,partial,49,76.7714136,16.3117735,images/0042.jpg
43,NRBC_D10_Survey_1,D-10pa,distributary,2300.0,partial,52,76.7718245,16.3119858,images/0043.jpg
44,NRBC_D10_Survey_1,D-10pa,distributary,2350.0,partial,49,76.7722265,16.312217,images/0044.jpg
45,NRBC_D10_Survey_1,D-10pa,distributary,2400.0,blocked,67,76.7726284,16.3124483,images/0045.jpg
46,NRBC_D10_Survey_1,D-10pa,distributary,2450.0,partial,65,76.77303,16.3126803,images/0046.jpg
47,NRBC_D10_Survey_1,D-10pa,distributary,2500.0,partial,54,76.7734313,16.3129127,images/0047.jpg
48,NRBC_D10_Survey_1,D-10pa,distributary,2550.0,partial,50,76.7738325,16.3131449,images/0048.jpg
49,NRBC_D10_Survey_1,D-10pa,distributary,2600.0,partial,44,76.7742336,16.3133773,images/0049.jpg
50,NRBC_D10_Survey_1,D-10pa,distributary,2650.0,partial,50,76.7746333,16.3136124,images/0050.jpg
51,NRBC_D10_Survey_1,D-10pa,distributary,2700.0,partial,48,76.7750268,16.3138565,images/0051.jpg
52,NRBC_D10_Survey_1,D-10pa,distributary,2750.0,partial,60,76.7754163,16.3141068,images/0052.jpg
53,NRBC_D10_Survey_1,D-10pa,distributary,2800.0,partial,51,76.775781,16.3143808,images/0053.jpg
54,NRBC_D10_Survey_1,D-10pa,distributary,2850.0,partial,50,76.7760753,16.3147218,images/0054.jpg
55,NRBC_D10_Survey_1,D-10pa,distributary,2900.0,partial,54,76.7763296,16.3151009,images/0055.jpg
56,NRBC_D10_Survey_1,D-10pa,distributary,2950.0,blocked,56,76.7765838,16.3154804,images/0056.jpg
57,NRBC_D10_Survey_1,D-10pa,distributary,3000.0,clear,30,76.7768397,16.3158586,images/0057.jpg
58,NRBC_D10_Survey_1,D-10pa,distributary,3050.0,clear,31,76.7771004,16.3162336,images/0058.jpg
59,NRBC_D10_Survey_1,D-10pa,distributary,3100.0,partial,48,76.7773643,16.3166068,images/0059.jpg
60,NRBC_D10_Survey_1,D-10pa,distributary,3150.0,clear,46,76.7776279,16.3169799,images/0060.jpg
61,NRBC_D10_Survey_1,D-10pa,distributary,3200.0,clear,56,76.7778918,16.3173531,images/0061.jpg
62,NRBC_D10_Survey_1,D-10pa,distributary,3250.0,clear,59,76.7781554,16.3177263,images/0062.jpg
63,NRBC_D10_Survey_1,D-10pa,distributary,3300.0,partial,77,76.778419,16.3180994,images/0063.jpg
64,NRBC_D10_Survey_1,D-10pa,distributary,3350.0,blocked,70,76.7786829,16.3184726,images/0064.jpg
65,NRBC_D10_Survey_1,D-10pa,distributary,3400.0,blocked,85,76.7789465,16.3188459,images/0065.jpg
66,NRBC_D10_Survey_1,D-10pa,distributary,3450.0,blocked,87,76.7792104,16.3192191,images/0066.jpg
67,NRBC_D10_Survey_1,D-10pa,distributary,3500.0,blocked,83,76.779474,16.3195922,images/0067.jpg
68,NRBC_D10_Survey_1,D-10pa,distributary,3550.0,clear,97,76.7796746,16.3199928,images/0068.jpg
69,NRBC_D10_Survey_1,D-10pa,distributary,3600.0,blocked,95,76.7797961,16.3204273,images/0069.jpg
70,NRBC_D10_Survey_1,D-10pa,distributary,3650.0,blocked,99,76.7799087,16.320866,images/0070.jpg
71,NRBC_D10_Survey_1,D-10pa,distributary,3700.0,blocked,99,76.7800209,16.3213045,images/0071.jpg
72,NRBC_D10_Survey_1,D-10pa,distributary,3750.0,blocked,99,76.7801334,16.321743,images/0072.jpg
73,NRBC_D10_Survey_1,D-10pa,distributary,3800.0,blocked,99,76.7802457,16.3221816,images/0073.jpg
74,NRBC_D10_Survey_1,D-10pa,distributary,3850.0,blocked,99,76.7803582,16.3226203,images/0074.jpg
75,NRBC_D10_Survey_1,D-10pa,distributary,3900.0,blocked,95,76.7804705,16.3230588,images/0075.jpg
76,NRBC_D10_Survey_1,D-10pa,distributary,3950.0,blocked,97,76.780583,16.3234973,images/0076.jpg
77,NRBC_D10_Survey_1,D-10pa,distributary,4000.0,partial,42,76.7806956,16.3239359,images/0077.jpg
78,NRBC_D10_Survey_1,D-10pa,distributary,4050.0,blocked,73,76.7808078,16.3243746,images/0078.jpg
79,NRBC_D10_Survey_1,D-10pa,distributary,4100.0,blocked,58,76.7810892,16.3246351,images/0079.jpg
